,cross,para,-1-2-,-2-3-,-2-9-,-9-16-,-1-10-,-16-36-,-24-25-,"Dist(1, 2)","Dist(2, 3)","Dist(2, 9)","Dist(9, 16)","Dist(1, 10)","Dist(16, 36)","Dist(24, 25)","Dist(10, 36)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO C 16,NBO O 36,NBO N 24,NBO C 25,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 C16,diff C16 O36,diff N24 C25,B1,B5,L,output
Ph,1676.7141,1646.3055,1438.5317,1646.3055,1438.5317,1824.8736,3752.5454,1824.8736,1425.3813,1.344072958,1.554677957,1.413283851,1.340569354,0.969373173,1.204677563,1.383837304,1.917302394,1.1342,0.5747,-1.603,2.0461,-0.44806,0.57046,-0.20222,-0.36703,0.25919,0.41941,-0.29924,-0.20677,0.09762,1.01852,0.77268,0.93749,0.70725,0.78644,0.71865,0.30439,1.7,3.19,6.83,0.531478917
m_F,1683.5364,1657.8848,1429.1413,1657.8848,1429.1413,1827.2635,3748.9716,1827.2635,1423.5263,1.342828764,1.557738711,1.410336784,1.342647601,0.969604181,1.20410127,1.384745726,1.921345367,1.431,-0.4701,-0.7831,1.6977,-0.44678,0.57163,-0.18893,-0.36732,0.25962,0.41951,-0.29845,-0.20695,0.09694,1.01841,0.76056,0.93895,0.7064,0.78683,0.71796,0.30389,1.7,3.66,6.84,0.69019608
m_Me,1677.698,1653.0722,1422.7963,1653.0722,1422.7963,1824.27,3752.8456,1824.27,1426.8575,1.344165613,1.554359521,1.413981688,1.339867807,0.969286244,1.204731712,1.383975099,1.920682918,0.9544,1.1392,-1.6933,2.2529,-0.44808,0.57101,-0.19855,-0.36683,0.25899,0.41938,-0.29944,-0.20673,0.09785,1.01909,0.76956,0.93784,0.70707,0.78621,0.71882,0.30458,1.73,4.35,6.82,0.498310554
m_naph,1707.2529,1645.0543,1445.2482,1378.3321,1445.2482,1824.6994,3749.8988,1824.6994,1424.866,1.344045092,1.55398268,1.413009638,1.340277505,0.969468293,1.204641033,1.384113512,1.920931224,0.8898,1.1933,-1.5489,2.1482,-0.45121,0.57289,-0.18114,-0.37087,0.25965,0.42027,-0.29946,-0.20679,0.09738,1.0241,0.75403,0.94376,0.71086,0.79114,0.71973,0.30417,1.7,4.33,8.96,0.795880017
m_tfm,1685.7117,1663.1288,1430.6893,1378.0302,1430.6893,1828.487,3746.8292,1828.487,1421.5851,1.342516077,1.558461088,1.407881954,1.34382548,0.969796454,1.203774102,1.385960483,1.926548518,1.931,-1.0604,-0.2876,2.2217,-0.44712,0.57118,-0.19648,-0.36735,0.26021,0.41977,-0.29796,-0.20709,0.0964,1.0183,0.76766,0.93853,0.70733,0.78712,0.71773,0.30349,1.95,4.84,7.41,1.080987047
mm_F,1692.8036,1668.8748,1446.2491,1492.8666,1446.2491,1829.5526,3750.4662,1829.5526,1423.4965,1.341676404,1.560524772,1.407618348,1.344524664,0.96978618,1.20357082,1.385151846,1.923325055,2.9336,-0.1022,-1.528,3.3092,-0.44596,0.57214,-0.17632,-0.36746,0.26025,0.41949,-0.29739,-0.207,0.09661,1.0181,0.74846,0.9396,0.70621,0.78695,0.71688,0.30361,1.7,3.72,6.84,0.596597096
mm_oMe,1663.9784,1674.1644,1385.208,1439.2032,1439.2032,1823.3855,3747.7783,1823.3855,1425.4363,1.344469657,1.556478912,1.411998387,1.340129517,0.969576705,1.204944231,1.384356083,1.916087329,-0.2447,0.3752,0.8151,0.9301,-0.44896,0.57227,-0.17868,-0.36641,0.25917,0.41973,-0.29988,-0.20688,0.0977,1.02123,0.75095,0.93868,0.70813,0.78614,0.71961,0.30458,1.89,5.36,7.58,0.62838893
o_F,1687.7353,1648.6292,1431.5367,1648.6292,1431.5367,1824.8679,3742.7499,1824.8679,1426.1944,1.344629437,1.560451383,1.404407438,1.341821212,0.969949417,1.204692998,1.384412158,1.911302875,0.1651,0.3182,-0.7009,0.7873,-0.4488,0.57088,-0.23253,-0.36338,0.26009,0.42021,-0.29952,-0.20723,0.09829,1.01968,0.80341,0.93426,0.70889,0.78359,0.71973,0.30552,1.71,3.7,6.85,0.579783597
o_Me,1672.8149,1640.2631,1423.0382,1423.0382,1387.5637,1826.7439,3748.2664,1826.7439,1440.0249,1.346881759,1.560404779,1.411956499,1.343418078,0.969262906,1.203366588,1.376071545,1.908576492,-1.1951,-2.4224,0.2836,2.716,-0.45017,0.56911,-0.20573,-0.36991,0.25942,0.42,-0.29895,-0.20713,0.09892,1.01928,0.77484,0.93902,0.70959,0.78991,0.71895,0.30605,1.77,4.27,6.82,0.544068044
op_Me,1630.5529,1682.5557,1426.0441,1682.5557,1426.0441,1823.9276,3751.412,1823.9276,1438.0849,1.346307612,1.557061301,1.415494735,1.340668488,0.969156808,1.204782629,1.37866295,1.906434579,0.3103,0.4193,-2.2913,2.3498,-0.44641,0.57103,-0.21295,-0.37149,0.25891,0.4212,-0.29699,-0.20829,0.0992,1.01744,0.78398,0.94252,0.70532,0.79269,0.71819,0.30749,1.79,4.27,7.76,0.568201724
p_F,1677.0976,1657.7234,1430.6759,1657.7234,1455.8974,1826.1557,3749.259,1826.1557,1424.2545,1.344179886,1.552779067,1.412470682,1.341452964,0.969418742,1.204349036,1.384087266,1.920150923,2.466,-0.0291,-1.5968,2.938,-0.44794,0.57098,-0.2113,-0.36724,0.25942,0.4193,-0.29882,-0.20682,0.09728,1.01892,0.78228,0.93822,0.70736,0.78654,0.71812,0.3041,1.7,3.18,7.41,0.618048097
p_Me,1684.0944,1632.5884,1429.8246,1632.5884,1451.7895,1823.4842,3750.5998,1823.4842,1424.8708,1.344712573,1.551972762,1.414568721,1.339646827,0.969257054,1.204866716,1.38368079,1.919283496,0.548,0.9758,-1.6348,1.9812,-0.44817,0.57091,-0.20843,-0.36676,0.2588,0.41926,-0.29966,-0.20674,0.0978,1.01908,0.77934,0.93767,0.70697,0.78602,0.71892,0.30454,1.82,3.18,7.77,0.439332694
p_MeO,1677.6754,1636.9313,1431.0272,1636.9313,1431.0272,1822.2061,3754.006,1822.2061,1425.0437,1.345907552,1.547566179,1.415836069,1.33888537,0.969134681,1.205105281,1.383585894,1.918988506,-0.2576,0.3168,-0.8001,0.8983,-0.44903,0.56975,-0.22109,-0.36662,0.25863,0.41922,-0.30014,-0.20674,0.09782,1.01878,0.79084,0.93637,0.70766,0.78584,0.71936,0.30456,1.78,3.2,8.88,0.491361694
p_tBu,1683.4881,1625.0842,1453.3785,1625.0842,1453.3785,1823.8781,3754.2302,1823.8781,1425.3846,1.344666371,1.551938435,1.414590657,1.339639556,0.969254749,1.204886306,1.383671558,1.918277883,0.4323,1.07,-1.5706,1.949,-0.4483,0.57074,-0.2072,-0.36659,0.25893,0.41936,-0.29959,-0.20673,0.09783,1.01904,0.77794,0.93733,0.70723,0.78595,0.71895,0.30456,2.76,3.19,9,0.511883361
p_tfm,1694.8577,1645.1791,1432.2691,1645.1791,1432.2691,1829.4582,3748.4609,1829.4582,1423.8337,1.342385769,1.559648407,1.408747044,1.344048325,0.969715348,1.203681963,1.384826719,1.920985476,4.0055,-0.3435,-1.5643,4.3139,-0.44675,0.57101,-0.19067,-0.36756,0.26021,0.41952,-0.29756,-0.20694,0.09675,1.01776,0.76168,0.93857,0.70696,0.78708,0.71708,0.30369,2.11,3.18,8.12,0.278753601
