,cross,para,-1-2-,-2-3-,-2-9-,-1-10-,-9-16-,-17-18-,-18-19-,-18-20-,"Dist(1, 2)","Dist(2, 3)","Dist(2, 9)","Dist(1, 10)","Dist(9, 16)","Dist(17, 18)","Dist(18, 19)","Dist(18, 20)","Dist(16, 17)","Dist(10, 17)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO H 16,NBO O 17,NBO C 18,NBO H 19,NBO C 20,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 H16,diff H10 O17,diff H16 O17,diff O17 C18,diff C18 H19,diff C18 C20,B1,B5,L,output
Ph,1647.0682,1676.5833,1403.0325,1414.3114,1403.0325,3823.066,3865.9687,1820.2428,3002.9817,1820.2428,1.370397643,1.562787113,1.367036052,0.965289909,0.963108774,1.206823011,1.103866053,1.477890123,2.203842811,2.029515434,-2.0223,4.2322,-1.6852,4.9841,-0.91722,1.11723,-0.40067,-0.89964,0.50346,0.49838,-0.57301,0.4566,0.12613,-0.16952,2.03445,1.5179,2.01687,1.42068,1.39802,1.07647,1.07139,1.02961,0.33047,0.62612,1.7,3.15,6.84,1.658011397
m_F,1658.2875,1685.6339,1404.6322,1487.8706,1414.7899,3863.9477,3817.8807,1819.2977,3008.8018,1819.2977,1.365362343,1.565543199,1.368460744,0.96334904,0.965602053,1.207116665,1.103648617,1.477474312,2.012963547,2.190249099,-3.6997,-5.2091,0.0501,6.3895,-0.89849,1.11742,-0.37365,-0.91623,0.50027,0.50495,-0.57554,0.45774,0.12717,-0.17017,2.01591,1.49107,2.03365,1.39876,1.42118,1.07581,1.08049,1.03328,0.33057,0.62791,1.7,3.7,6.85,1.812913357
m_Me,1680.2581,1655.1808,1404.0476,1404.0476,1402.7512,1404.0476,1402.7512,1425.4263,1819.9763,1819.9763,1.367282388,1.56250633,1.370876489,0.963016363,0.965188381,1.206783467,1.103937765,1.477928883,2.04516339,2.195310251,2.7724,-3.0262,-2.2291,4.6705,-0.8997,1.11744,-0.39347,-0.91679,0.49787,0.50321,-0.5727,0.45626,0.12579,-0.16939,2.01714,1.51091,2.03423,1.39757,1.42,1.07057,1.07591,1.02896,0.33047,0.62565,1.76,4.38,6.83,1.602059991
m_naph,1645.3561,1706.8114,1412.9242,1432.8507,1419.6066,3824.3764,3863.913,1820.1417,3000.5439,1820.1417,1.370249664,1.562654953,1.366946123,0.965236129,0.963219034,1.206882909,1.103796131,1.477604477,2.173279377,2.036464056,3.2694,-3.5508,1.5211,5.0607,-0.91665,1.11764,-0.39759,-0.89985,0.50336,0.49934,-0.57393,0.45691,0.12653,-0.16947,2.03429,1.51523,2.01749,1.42001,1.39919,1.07729,1.07327,1.03084,0.33038,0.62638,1.72,4.35,8.96,1.872156273
m_tfm,1662.1458,1684.3092,1410.533,1489.9582,1422.6482,1422.6482,3810.0846,1819.1862,3009.9765,1819.1862,1.365015747,1.566280416,1.366930439,0.963616788,0.965860698,1.207298802,1.103460903,1.477103003,1.990585741,2.185132143,4.365,6.2634,-1.2431,7.7349,-0.89919,1.11786,-0.38735,-0.91549,0.50191,0.5056,-0.57711,0.45873,0.1281,-0.17063,2.01705,1.50521,2.03335,1.4011,1.42109,1.07902,1.08271,1.03584,0.33063,0.62936,1.81,4.89,7.3,1.956648579
mm_F,1668.034,1693.4809,1418.5193,1526.6327,1430.1862,3812.6578,3861.3285,1818.5963,3012.6347,1818.5963,1.366538351,1.568166222,1.363837544,0.965911882,0.963561464,1.207369281,1.103459623,1.477108277,2.179682185,1.999813516,4.0543,-5.1537,2.1351,6.8962,-0.91468,1.11765,-0.34786,-0.89765,0.5062,0.50228,-0.57771,0.45877,0.12825,-0.17058,2.03233,1.46551,2.0153,1.42088,1.39993,1.08391,1.07999,1.03648,0.33052,0.62935,1.7,3.69,6.85,1.698970004
mm_oMe,1654.492,1683.7901,1406.5208,1416.057,1416.057,3829.553,3868.6143,1820.2855,2997.4207,1820.2855,1.369698303,1.565640533,1.366200715,0.965149905,0.962974868,1.206736744,1.104047884,1.478035531,2.200311134,2.052787726,1.8395,-1.8774,-0.6327,2.7035,-0.91484,1.11983,-0.35578,-0.89806,0.50344,0.4977,-0.57239,0.45607,0.12522,-0.16936,2.03467,1.47561,2.01789,1.41828,1.39576,1.07583,1.07009,1.02846,0.33085,0.62543,1.89,4.53,7.57,1.720159303
o_F,1649.4658,1687.4707,1416.213,1405.4484,1416.213,3865.4738,3812.9449,1820.0451,3001.7577,1820.0451,1.368492234,1.568477165,1.363979357,0.963207149,0.965942155,1.206981642,1.10383593,1.477712286,2.003698544,2.213247171,1.2233,4.6497,-1.2096,4.9578,-0.90176,1.11643,-0.46086,-0.90295,0.50015,0.50248,-0.57414,0.45735,0.12594,-0.1702,2.01819,1.57729,2.01938,1.40191,1.40543,1.07429,1.07662,1.03149,0.33141,0.62755,1.71,3.7,6.86,1.819543936
o_Me,1640.85,1672.8412,1403.2029,1403.2029,1395.4498,3871.2977,3812.1799,1820.7694,3007.4992,1820.7694,1.370042507,1.56815074,1.371592848,0.962794369,0.965893795,1.206779971,1.103754381,1.47787436,2.015018646,2.19171121,-3.175,-4.0068,0.3228,5.1224,-0.90365,1.1171,-0.40487,-0.92115,0.49798,0.5039,-0.57286,0.45703,0.12661,-0.16916,2.02075,1.52197,2.03825,1.40163,1.42505,1.07084,1.07676,1.02989,0.33042,0.62619,1.77,4.29,6.84,1.763427994
op_Me,1681.7184,1631.0655,1388.6656,1400.943,1400.943,3818.14,3870.2455,1821.0038,3006.6875,1821.0038,1.372313082,1.565439203,1.370788519,0.965736975,0.962651804,1.206711345,1.103898316,1.478030709,2.201659294,2.029942766,-2.5597,3.6964,-1.2865,4.6767,-0.92101,1.11636,-0.41716,-0.90365,0.50388,0.49693,-0.57201,0.45641,0.12586,-0.16907,2.03737,1.53352,2.02001,1.42489,1.40058,1.07589,1.06894,1.02842,0.33055,0.62548,1.77,4.29,7.78,1.748188027
p_F,1659.2764,1677.1081,1401.8774,1411.5972,1401.8774,3821.5236,3862.9257,1819.2445,3001.7131,1819.2445,1.370071262,1.561092281,1.366841123,0.965364609,0.963192526,1.206992731,1.103729509,1.477550108,2.178132,2.031084448,-3.2831,5.0469,-2.4861,6.514,-0.91708,1.11694,-0.41821,-0.90068,0.50401,0.49989,-0.57467,0.45718,0.12693,-0.16967,2.03402,1.53515,2.01762,1.42109,1.40057,1.07868,1.07456,1.03185,0.33025,0.62685,1.7,3.14,7.42,1.77815125
p_Me,1633.8257,1685.3274,1399.7126,1409.5077,1399.7126,3830.2062,3866.4907,1820.536,1820.536,1820.536,1.371143516,1.560282159,1.367858319,0.965077178,0.962940913,1.206766255,1.104003224,1.4779275,2.19321943,2.054907537,1.32,2.6223,3.4098,4.4995,-0.91636,1.11634,-0.4132,-0.9002,0.50323,0.49748,-0.57251,0.456,0.12542,-0.16945,2.0327,1.52954,2.01654,1.41959,1.39768,1.07574,1.06999,1.02851,0.33058,0.62545,1.71,3.14,7.78,1.311753861
p_MeO,1640.2676,1679.7734,1397.1646,1413.0068,1413.0068,3831.013,3870.3694,1820.6503,2999.5549,1820.6503,1.3725178,1.556504386,1.36857614,0.964920799,0.962864633,1.20666327,1.103999349,1.478088776,2.184222402,2.062904435,2.0519,-2.8738,1.9188,4.0188,-0.91765,1.11508,-0.43806,-0.90114,0.50246,0.4974,-0.5718,0.45572,0.12541,-0.16894,2.03273,1.55314,2.01622,1.42011,1.39854,1.07426,1.0692,1.02752,0.33031,0.62466,1.78,3.15,8.91,1.62324929
p_tBu,1683.7056,1626.8809,1414.0516,1414.0516,1414.0516,1414.0516,1414.0516,1820.5308,1820.5308,1820.5308,1.37112305,1.560487407,1.36773282,0.965087444,0.962996916,1.20674737,1.10395732,1.477894021,2.183419261,2.054726024,-3.3592,-2.4036,-1.9096,4.5507,-0.9163,1.11753,-0.41005,-0.90033,0.50279,0.4979,-0.57252,0.45609,0.12563,-0.16922,2.03383,1.52758,2.01786,1.41909,1.39823,1.07531,1.07042,1.02861,0.33046,0.62531,2.73,3.22,9.03,1.681241237
p_tfm,1693.0795,1645.8825,1408.3576,1455.8199,1408.3576,1418.4452,3861.3287,1819.2249,1819.2249,1819.2249,1.367339579,1.567388758,1.364608797,0.965860497,0.963572455,1.207296774,1.103450886,1.477182775,2.179604169,1.998876557,5.4128,3.6145,5.0055,8.2109,-0.91559,1.11735,-0.37551,-0.89863,0.50556,0.50192,-0.57726,0.45866,0.12829,-0.17041,2.03294,1.49286,2.01598,1.42115,1.40055,1.08282,1.07918,1.03592,0.33037,0.62907,2.11,3.14,8.15,1.806179974
